from,to,weight,strength
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,13,medium
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,34,medium
Aerys-II-Targaryen,Robert-Baratheon,12,medium
Aggo,Daenerys-Targaryen,11,medium
Alliser-Thorne,Jon-Snow,32,medium
Alyn,Eddard-Stark,11,medium
Arya-Stark,Bran-Stark,14,medium
Arya-Stark,Cersei-Lannister,12,medium
Arya-Stark,Eddard-Stark,30,medium
Arya-Stark,Joffrey-Baratheon,39,medium
Arya-Stark,Jon-Snow,37,medium
Arya-Stark,Jory-Cassel,12,medium
Arya-Stark,Mordane,39,medium
Arya-Stark,Mycah,18,medium
Arya-Stark,Myrcella-Baratheon,13,medium
Arya-Stark,Robb-Stark,15,medium
Arya-Stark,Sansa-Stark,104,high
Arya-Stark,Syrio-Forel,20,medium
Barristan-Selmy,Cersei-Lannister,12,medium
Barristan-Selmy,Eddard-Stark,28,medium
Barristan-Selmy,Renly-Baratheon,13,medium
Barristan-Selmy,Robert-Baratheon,40,medium
Benjen-Stark,Jon-Snow,41,medium
Bran-Stark,Catelyn-Stark,18,medium
Bran-Stark,Eddard-Stark,19,medium
Bran-Stark,Hodor,29,medium
Bran-Stark,Jon-Snow,56,high
Bran-Stark,Jory-Cassel,11,medium
Bran-Stark,Luwin,65,high
Bran-Stark,Nan,17,medium
Bran-Stark,Osha,12,medium
Bran-Stark,Rickon-Stark,32,medium
Bran-Stark,Robb-Stark,112,high
Bran-Stark,Robert-Baratheon,11,medium
Bran-Stark,Theon-Greyjoy,23,medium
Bran-Stark,Tyrion-Lannister,31,medium
Brandon-Stark,Eddard-Stark,11,medium
Brandon-Stark,Petyr-Baelish,14,medium
Bronn,Tyrion-Lannister,61,high
Bronn,Vardis-Egen,11,medium
Brynden-Tully,Catelyn-Stark,16,medium
Catelyn-Stark,Cersei-Lannister,12,medium
Catelyn-Stark,Eddard-Stark,64,high
Catelyn-Stark,Jon-Arryn,11,medium
Catelyn-Stark,Jon-Snow,14,medium
Catelyn-Stark,Luwin,14,medium
Catelyn-Stark,Lysa-Arryn,33,medium
Catelyn-Stark,Petyr-Baelish,22,medium
Catelyn-Stark,Robb-Stark,49,medium
Catelyn-Stark,Robert-Baratheon,22,medium
Catelyn-Stark,Rodrik-Cassel,25,medium
Catelyn-Stark,Tyrion-Lannister,49,medium
Catelyn-Stark,Walder-Frey,13,medium
Cersei-Lannister,Eddard-Stark,69,high
Cersei-Lannister,Jaime-Lannister,16,medium
Cersei-Lannister,Joffrey-Baratheon,42,medium
Cersei-Lannister,Petyr-Baelish,13,medium
Cersei-Lannister,Robert-Baratheon,72,high
Cersei-Lannister,Sansa-Stark,29,medium
Cersei-Lannister,Tyrion-Lannister,27,medium
Cersei-Lannister,Varys,19,medium
Daenerys-Targaryen,Doreah,15,medium
Daenerys-Targaryen,Drogo,101,high
Daenerys-Targaryen,Haggo,12,medium
Daenerys-Targaryen,Illyrio-Mopatis,24,medium
Daenerys-Targaryen,Irri,25,medium
Daenerys-Targaryen,Jhiqui,26,medium
Daenerys-Targaryen,Jhogo,17,medium
Daenerys-Targaryen,Jorah-Mormont,75,high
Daenerys-Targaryen,Mirri-Maz-Duur,31,medium
Daenerys-Targaryen,Qotho,18,medium
Daenerys-Targaryen,Robert-Baratheon,11,medium
Daenerys-Targaryen,Viserys-Targaryen,37,medium
Doreah,Irri,14,medium
Doreah,Jhiqui,11,medium
Drogo,Illyrio-Mopatis,16,medium
Drogo,Jorah-Mormont,16,medium
Drogo,Mirri-Maz-Duur,12,medium
Drogo,Ogo,11,medium
Drogo,Qotho,13,medium
Drogo,Viserys-Targaryen,19,medium
Eddard-Stark,Jaime-Lannister,27,medium
Eddard-Stark,Joffrey-Baratheon,26,medium
Eddard-Stark,Jon-Arryn,47,medium
Eddard-Stark,Jon-Snow,38,medium
Eddard-Stark,Jory-Cassel,32,medium
Eddard-Stark,Loras-Tyrell,12,medium
Eddard-Stark,Luwin,16,medium
Eddard-Stark,Lyanna-Stark,19,medium
Eddard-Stark,Lysa-Arryn,12,medium
Eddard-Stark,Mordane,11,medium
Eddard-Stark,Petyr-Baelish,81,high
Eddard-Stark,Pycelle,33,medium
Eddard-Stark,Renly-Baratheon,33,medium
Eddard-Stark,Robb-Stark,16,medium
Eddard-Stark,Robert-Baratheon,291,high
Eddard-Stark,Sansa-Stark,34,medium
Eddard-Stark,Stannis-Baratheon,18,medium
Eddard-Stark,Tomard,15,medium
Eddard-Stark,Tyrion-Lannister,21,medium
Eddard-Stark,Tywin-Lannister,18,medium
Eddard-Stark,Varys,61,high
Eddard-Stark,Vayon-Poole,12,medium
Gared,Waymar-Royce,13,medium
Gared,Will-(prologue),12,medium
Gregor-Clegane,Sandor-Clegane,11,medium
Grenn,Jon-Snow,31,medium
Grenn,Pypar,27,medium
Haggo,Qotho,11,medium
Halder,Jon-Snow,23,medium
Hallis-Mollen,Robb-Stark,13,medium
Illyrio-Mopatis,Viserys-Targaryen,14,medium
Irri,Jhiqui,14,medium
Jaime-Lannister,Joffrey-Baratheon,12,medium
Jaime-Lannister,Robert-Baratheon,24,medium
Jaime-Lannister,Sandor-Clegane,12,medium
Jaime-Lannister,Tyrion-Lannister,36,medium
Jaime-Lannister,Tywin-Lannister,16,medium
Jaremy-Rykker,Jeor-Mormont,11,medium
Jeor-Mormont,Jon-Snow,81,high
Jeor-Mormont,Tyrion-Lannister,23,medium
Jeyne-Poole,Sansa-Stark,27,medium
Joffrey-Baratheon,Mycah,14,medium
Joffrey-Baratheon,Petyr-Baelish,11,medium
Joffrey-Baratheon,Robb-Stark,19,medium
Joffrey-Baratheon,Robert-Baratheon,30,medium
Joffrey-Baratheon,Sandor-Clegane,24,medium
Joffrey-Baratheon,Sansa-Stark,87,high
Joffrey-Baratheon,Tyrion-Lannister,13,medium
Jon-Arryn,Lysa-Arryn,12,medium
Jon-Arryn,Pycelle,11,medium
Jon-Arryn,Robert-Baratheon,32,medium
Jon-Arryn,Stannis-Baratheon,13,medium
Jon-Snow,Pypar,45,medium
Jon-Snow,Rickon-Stark,11,medium
Jon-Snow,Robb-Stark,53,high
Jon-Snow,Robert-Baratheon,18,medium
Jon-Snow,Samwell-Tarly,81,high
Jon-Snow,Todder,13,medium
Jon-Snow,Tyrion-Lannister,56,high
Jorah-Mormont,Viserys-Targaryen,15,medium
Kevan-Lannister,Tyrion-Lannister,15,medium
Loras-Tyrell,Sansa-Stark,14,medium
Luwin,Osha,16,medium
Luwin,Robb-Stark,20,medium
Lysa-Arryn,Tyrion-Lannister,25,medium
Mord,Tyrion-Lannister,20,medium
Mordane,Myrcella-Baratheon,12,medium
Mordane,Sansa-Stark,43,medium
Petyr-Baelish,Pycelle,14,medium
Petyr-Baelish,Renly-Baratheon,12,medium
Petyr-Baelish,Robert-Baratheon,30,medium
Petyr-Baelish,Tyrion-Lannister,11,medium
Petyr-Baelish,Varys,29,medium
Pycelle,Robert-Baratheon,26,medium
Pycelle,Varys,17,medium
Pypar,Samwell-Tarly,11,medium
Renly-Baratheon,Robert-Baratheon,42,medium
Renly-Baratheon,Stannis-Baratheon,19,medium
Rhaegar-Targaryen,Robert-Baratheon,22,medium
Rickon-Stark,Robb-Stark,20,medium
Robb-Stark,Rodrik-Cassel,15,medium
Robb-Stark,Sansa-Stark,13,medium
Robb-Stark,Theon-Greyjoy,37,medium
Robb-Stark,Tyrion-Lannister,11,medium
Robert-Baratheon,Sansa-Stark,26,medium
Robert-Baratheon,Stannis-Baratheon,21,medium
Robert-Baratheon,Tyrion-Lannister,18,medium
Robert-Baratheon,Tywin-Lannister,13,medium
Robert-Baratheon,Varys,36,medium
Sandor-Clegane,Sansa-Stark,23,medium
Shae,Tyrion-Lannister,12,medium
Shagga,Tyrion-Lannister,17,medium
Tyrion-Lannister,Tywin-Lannister,40,medium
Waymar-Royce,Will-(prologue),18,medium
