source,target,weight
Addam-Marbrand,Jaime-Lannister,3
Addam-Marbrand,Tywin-Lannister,6
Aegon-I-Targaryen,Daenerys-Targaryen,5
Aegon-I-Targaryen,Eddard-Stark,4
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,4
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,4
Aemon-Targaryen-(Maester-Aemon),Chett,9
Aemon-Targaryen-(Maester-Aemon),Clydas,5
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,13
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,34
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,5
Aerys-II-Targaryen,Brandon-Stark,4
Aerys-II-Targaryen,Eddard-Stark,10
Aerys-II-Targaryen,Gerold-Hightower,3
Aerys-II-Targaryen,Jaime-Lannister,5
Aerys-II-Targaryen,Jon-Arryn,3
Aerys-II-Targaryen,Robert-Baratheon,12
Aggo,Daenerys-Targaryen,11
Aggo,Drogo,6
Aggo,Jhogo,4
Aggo,Jorah-Mormont,5
Aggo,Quaro,3
Aggo,Rakharo,7
Albett,Halder,3
Albett,Jon-Snow,5
Albett,Rast,3
Alliser-Thorne,Bowen-Marsh,3
Alliser-Thorne,Grenn,3
Alliser-Thorne,Halder,4
Alliser-Thorne,Jeor-Mormont,10
Alliser-Thorne,Jon-Snow,32
Alliser-Thorne,Pypar,4
Alliser-Thorne,Rast,5
Alliser-Thorne,Samwell-Tarly,8
Alliser-Thorne,Tyrion-Lannister,7
Alyn,Eddard-Stark,11
Alyn,Harwin,6
Alyn,Jory-Cassel,8
Alyn,Robert-Baratheon,4
Alyn,Tomard,3
Arthur-Dayne,Gerold-Hightower,4
Arya-Stark,Benjen-Stark,3
Arya-Stark,Bran-Stark,14
Arya-Stark,Catelyn-Stark,5
Arya-Stark,Cersei-Lannister,12
Arya-Stark,Desmond,3
Arya-Stark,Eddard-Stark,30
Arya-Stark,Ilyn-Payne,5
Arya-Stark,Jeyne-Poole,10
Arya-Stark,Joffrey-Baratheon,39
Arya-Stark,Jon-Snow,37
Arya-Stark,Jory-Cassel,12
Arya-Stark,Meryn-Trant,4
Arya-Stark,Mordane,39
Arya-Stark,Mycah,18
Arya-Stark,Myrcella-Baratheon,13
Arya-Stark,Petyr-Baelish,3
Arya-Stark,Rickon-Stark,7
Arya-Stark,Robb-Stark,15
Arya-Stark,Robert-Baratheon,8
Arya-Stark,Rodrik-Cassel,3
Arya-Stark,Sandor-Clegane,7
Arya-Stark,Sansa-Stark,104
Arya-Stark,Syrio-Forel,20
Arya-Stark,Tomard,6
Arya-Stark,Tommen-Baratheon,5
Arya-Stark,Vayon-Poole,4
Arya-Stark,Yoren,4
Arys-Oakheart,Cersei-Lannister,3
Balon-Greyjoy,Eddard-Stark,3
Balon-Greyjoy,Robert-Baratheon,4
Balon-Swann,Renly-Baratheon,3
Balon-Swann,Sandor-Clegane,3
Barristan-Selmy,Boros-Blount,3
Barristan-Selmy,Cersei-Lannister,12
Barristan-Selmy,Eddard-Stark,28
Barristan-Selmy,Jaime-Lannister,4
Barristan-Selmy,Joffrey-Baratheon,6
Barristan-Selmy,Jon-Arryn,4
Barristan-Selmy,Meryn-Trant,3
Barristan-Selmy,Petyr-Baelish,7
Barristan-Selmy,Pycelle,8
Barristan-Selmy,Renly-Baratheon,13
Barristan-Selmy,Robert-Baratheon,40
Barristan-Selmy,Sandor-Clegane,3
Barristan-Selmy,Sansa-Stark,3
Barristan-Selmy,Varys,9
Benjen-Stark,Bran-Stark,6
Benjen-Stark,Cersei-Lannister,3
Benjen-Stark,Jaremy-Rykker,3
Benjen-Stark,Jeor-Mormont,9
Benjen-Stark,Jon-Snow,41
Benjen-Stark,Luwin,7
Benjen-Stark,Mance-Rayder,3
Benjen-Stark,Robb-Stark,7
Benjen-Stark,Robert-Baratheon,3
Benjen-Stark,Theon-Greyjoy,4
Benjen-Stark,Tyrion-Lannister,8
Benjen-Stark,Waymar-Royce,3
Benjen-Stark,Yoren,4
Beric-Dondarrion,Eddard-Stark,3
Beric-Dondarrion,Gregor-Clegane,6
Beric-Dondarrion,Loras-Tyrell,5
Beric-Dondarrion,Robert-Baratheon,5
Beric-Dondarrion,Sansa-Stark,4
Beric-Dondarrion,Thoros-of-Myr,5
Boros-Blount,Cersei-Lannister,9
Boros-Blount,Joffrey-Baratheon,3
Boros-Blount,Meryn-Trant,5
Boros-Blount,Sansa-Stark,6
Bowen-Marsh,Jeor-Mormont,8
Bowen-Marsh,Jon-Snow,10
Bowen-Marsh,Samwell-Tarly,3
Bran-Stark,Catelyn-Stark,18
Bran-Stark,Cersei-Lannister,6
Bran-Stark,Eddard-Stark,19
Bran-Stark,Hali,3
Bran-Stark,Hallis-Mollen,3
Bran-Stark,Hodor,29
Bran-Stark,Hullen,3
Bran-Stark,Jeor-Mormont,4
Bran-Stark,Joffrey-Baratheon,3
Bran-Stark,Jon-Arryn,7
Bran-Stark,Jon-Snow,56
Bran-Stark,Jory-Cassel,11
Bran-Stark,Joseth,4
Bran-Stark,Luwin,65
Bran-Stark,Nan,17
Bran-Stark,Osha,12
Bran-Stark,Petyr-Baelish,3
Bran-Stark,Renly-Baratheon,3
Bran-Stark,Rickard-Karstark,4
Bran-Stark,Rickard-Stark,4
Bran-Stark,Rickon-Stark,32
Bran-Stark,Robb-Stark,112
Bran-Stark,Robert-Baratheon,11
Bran-Stark,Rodrik-Cassel,6
Bran-Stark,Sansa-Stark,10
Bran-Stark,Stiv,4
Bran-Stark,Theon-Greyjoy,23
Bran-Stark,Tommen-Baratheon,5
Bran-Stark,Tyrion-Lannister,31
Bran-Stark,Yoren,3
Brandon-Stark,Eddard-Stark,11
Brandon-Stark,Lyanna-Stark,4
Brandon-Stark,Petyr-Baelish,14
Brandon-Stark,Rickard-Stark,3
Brandon-Stark,Robert-Baratheon,5
Bronn,Catelyn-Stark,6
Bronn,Chiggen,8
Bronn,Marillion,4
Bronn,Rodrik-Cassel,4
Bronn,Shae,3
Bronn,Shagga,3
Bronn,Tyrion-Lannister,61
Bronn,Tywin-Lannister,4
Bronn,Vardis-Egen,11
Bronn,Willis-Wode,5
Brynden-Tully,Catelyn-Stark,16
Brynden-Tully,Edmure-Tully,3
Brynden-Tully,Hoster-Tully,5
Brynden-Tully,Jaime-Lannister,7
Brynden-Tully,Lysa-Arryn,10
Brynden-Tully,Nestor-Royce,3
Brynden-Tully,Robb-Stark,9
Brynden-Tully,Theon-Greyjoy,6
Brynden-Tully,Tyrion-Lannister,4
Brynden-Tully,Tywin-Lannister,3
Brynden-Tully,Walder-Frey,3
Catelyn-Stark,Cersei-Lannister,12
Catelyn-Stark,Colemon,3
Catelyn-Stark,Donnel-Waynwood,3
Catelyn-Stark,Eddard-Stark,64
Catelyn-Stark,Edmure-Tully,7
Catelyn-Stark,Eon-Hunter,3
Catelyn-Stark,Hallis-Mollen,10
Catelyn-Stark,Hoster-Tully,6
Catelyn-Stark,Jaime-Lannister,9
Catelyn-Stark,Joffrey-Baratheon,4
Catelyn-Stark,Jon-Arryn,11
Catelyn-Stark,Jon-Snow,14
Catelyn-Stark,Jon-Umber-(Greatjon),4
Catelyn-Stark,Luwin,14
Catelyn-Stark,Lysa-Arryn,33
Catelyn-Stark,Marillion,6
Catelyn-Stark,Masha-Heddle,5
Catelyn-Stark,Moreo-Tumitis,3
Catelyn-Stark,Mya-Stone,9
Catelyn-Stark,Mychel-Redfort,3
Catelyn-Stark,Nestor-Royce,3
Catelyn-Stark,Petyr-Baelish,22
Catelyn-Stark,Rickard-Karstark,6
Catelyn-Stark,Rickon-Stark,3
Catelyn-Stark,Robb-Stark,49
Catelyn-Stark,Robert-Arryn,3
Catelyn-Stark,Robert-Baratheon,22
Catelyn-Stark,Rodrik-Cassel,25
Catelyn-Stark,Sansa-Stark,9
Catelyn-Stark,Stevron-Frey,5
Catelyn-Stark,Theon-Greyjoy,9
Catelyn-Stark,Tyrion-Lannister,49
Catelyn-Stark,Tytos-Blackwood,4
Catelyn-Stark,Tywin-Lannister,7
Catelyn-Stark,Vardis-Egen,5
Catelyn-Stark,Varys,10
Catelyn-Stark,Walder-Frey,13
Catelyn-Stark,Wendel-Manderly,3
Catelyn-Stark,Willis-Wode,5
Cayn,Eddard-Stark,7
Cayn,Renly-Baratheon,3
Cayn,Tomard,6
Cersei-Lannister,Eddard-Stark,69
Cersei-Lannister,Ilyn-Payne,4
Cersei-Lannister,Jaime-Lannister,16
Cersei-Lannister,Janos-Slynt,4
Cersei-Lannister,Joffrey-Baratheon,42
Cersei-Lannister,Jon-Arryn,7
Cersei-Lannister,Jon-Snow,4
Cersei-Lannister,Jory-Cassel,5
Cersei-Lannister,Meryn-Trant,4
Cersei-Lannister,Mordane,3
Cersei-Lannister,Myrcella-Baratheon,7
Cersei-Lannister,Petyr-Baelish,13
Cersei-Lannister,Pycelle,9
Cersei-Lannister,Renly-Baratheon,5
Cersei-Lannister,Robert-Baratheon,72
Cersei-Lannister,Sandor-Clegane,5
Cersei-Lannister,Sansa-Stark,29
Cersei-Lannister,Stannis-Baratheon,5
Cersei-Lannister,Tommen-Baratheon,4
Cersei-Lannister,Tyrion-Lannister,27
Cersei-Lannister,Tywin-Lannister,10
Cersei-Lannister,Varys,19
Cersei-Lannister,Vayon-Poole,4
Chella,Tyrion-Lannister,5
Chett,Jon-Snow,4
Chett,Samwell-Tarly,6
Chiggen,Tyrion-Lannister,5
Chiggen,Willis-Wode,3
Clement-Piper,Karyl-Vance,4
Cohollo,Daenerys-Targaryen,7
Cohollo,Drogo,9
Cohollo,Haggo,7
Cohollo,Qotho,6
Colemon,Vardis-Egen,4
Conn,Coratt,5
Conn,Shagga,9
Conn,Tyrion-Lannister,6
Daenerys-Targaryen,Doreah,15
Daenerys-Targaryen,Drogo,101
Daenerys-Targaryen,Eddard-Stark,5
Daenerys-Targaryen,Eroeh,5
Daenerys-Targaryen,Haggo,12
Daenerys-Targaryen,Illyrio-Mopatis,24
Daenerys-Targaryen,Irri,25
Daenerys-Targaryen,Jhiqui,26
Daenerys-Targaryen,Jhogo,17
Daenerys-Targaryen,Jorah-Mormont,75
Daenerys-Targaryen,Mirri-Maz-Duur,31
Daenerys-Targaryen,Qotho,18
Daenerys-Targaryen,Quaro,5
Daenerys-Targaryen,Rakharo,4
Daenerys-Targaryen,Rhaegar-Targaryen,4
Daenerys-Targaryen,Robert-Baratheon,11
Daenerys-Targaryen,Varys,5
Daenerys-Targaryen,Viserys-Targaryen,37
Danwell-Frey,Hosteen-Frey,3
Danwell-Frey,Jared-Frey,3
Danwell-Frey,Walder-Frey,3
Dareon,Jon-Snow,6
Daryn-Hornwood,Eddard-Stark,3
Daryn-Hornwood,Torrhen-Karstark,3
Desmond,Eddard-Stark,4
Dolf,Shagga,7
Donal-Noye,Jon-Snow,7
Doreah,Drogo,5
Doreah,Irri,14
Doreah,Jhiqui,11
Doreah,Jorah-Mormont,3
Doreah,Viserys-Targaryen,3
Drogo,Haggo,9
Drogo,Illyrio-Mopatis,16
Drogo,Irri,9
Drogo,Jhiqui,5
Drogo,Jhogo,7
Drogo,Jommo,3
Drogo,Jorah-Mormont,16
Drogo,Mirri-Maz-Duur,12
Drogo,Ogo,11
Drogo,Qotho,13
Drogo,Quaro,3
Drogo,Rakharo,4
Drogo,Rhaego,5
Drogo,Robert-Baratheon,3
Drogo,Viserys-Targaryen,19
Dywen,Jon-Snow,4
Eddard-Stark,Edmure-Tully,3
Eddard-Stark,Galbart-Glover,4
Eddard-Stark,Gendry,3
Eddard-Stark,Gerold-Hightower,3
Eddard-Stark,Gregor-Clegane,10
Eddard-Stark,Harwin,5
Eddard-Stark,High-Septon-(fat_one),4
Eddard-Stark,Howland-Reed,3
Eddard-Stark,Ilyn-Payne,6
Eddard-Stark,Jacks,4
Eddard-Stark,Jaime-Lannister,27
Eddard-Stark,Janos-Slynt,4
Eddard-Stark,Joffrey-Baratheon,26
Eddard-Stark,Jon-Arryn,47
Eddard-Stark,Jon-Snow,38
Eddard-Stark,Jory-Cassel,32
Eddard-Stark,Joss,5
Eddard-Stark,Loras-Tyrell,12
Eddard-Stark,Luwin,16
Eddard-Stark,Lyanna-Stark,19
Eddard-Stark,Lysa-Arryn,12
Eddard-Stark,Marq-Piper,3
Eddard-Stark,Mordane,11
Eddard-Stark,Mycah,3
Eddard-Stark,Petyr-Baelish,81
Eddard-Stark,Porther,4
Eddard-Stark,Pycelle,33
Eddard-Stark,Raymun-Darry,4
Eddard-Stark,Renly-Baratheon,33
Eddard-Stark,Rhaegar-Targaryen,10
Eddard-Stark,Rickard-Karstark,4
Eddard-Stark,Rickon-Stark,4
Eddard-Stark,Robb-Stark,16
Eddard-Stark,Robert-Baratheon,291
Eddard-Stark,Rodrik-Cassel,7
Eddard-Stark,Sandor-Clegane,10
Eddard-Stark,Sansa-Stark,34
Eddard-Stark,Stannis-Baratheon,18
Eddard-Stark,Syrio-Forel,6
Eddard-Stark,Theon-Greyjoy,5
Eddard-Stark,Tobho-Mott,7
Eddard-Stark,Tomard,15
Eddard-Stark,Torrhen-Karstark,5
Eddard-Stark,Tregar,4
Eddard-Stark,Tyrion-Lannister,21
Eddard-Stark,Tywin-Lannister,18
Eddard-Stark,Varly,4
Eddard-Stark,Varys,61
Eddard-Stark,Vayon-Poole,12
Eddard-Stark,Wyl-(guard),3
Eddard-Stark,Wylla,3
Edmure-Tully,Hoster-Tully,7
Edmure-Tully,Jaime-Lannister,4
Edmure-Tully,Karyl-Vance,4
Edmure-Tully,Lysa-Arryn,5
Edmure-Tully,Marq-Piper,3
Edmure-Tully,Petyr-Baelish,4
Edmure-Tully,Robb-Stark,5
Edmure-Tully,Tytos-Blackwood,3
Eon-Hunter,Lysa-Arryn,3
Eon-Hunter,Vardis-Egen,3
Fogo,Ogo,4
Galbart-Glover,Jaime-Lannister,3
Galbart-Glover,Jon-Umber-(Greatjon),4
Galbart-Glover,Rickard-Karstark,4
Galbart-Glover,Robb-Stark,5
Galbart-Glover,Roose-Bolton,3
Gared,Jeor-Mormont,4
Gared,Waymar-Royce,13
Gared,Will-(prologue),12
Gerold-Hightower,Oswell-Whent,3
Gerold-Hightower,Robert-Baratheon,4
Gregor-Clegane,Jaime-Lannister,3
Gregor-Clegane,Loras-Tyrell,10
Gregor-Clegane,Marq-Piper,6
Gregor-Clegane,Petyr-Baelish,3
Gregor-Clegane,Pycelle,3
Gregor-Clegane,Robert-Baratheon,4
Gregor-Clegane,Sandor-Clegane,11
Gregor-Clegane,Sansa-Stark,5
Gregor-Clegane,Tyrion-Lannister,7
Gregor-Clegane,Tywin-Lannister,6
Grenn,Halder,6
Grenn,Jeor-Mormont,3
Grenn,Jon-Snow,31
Grenn,Pypar,27
Grenn,Samwell-Tarly,8
Grenn,Todder,7
Gunthor-son-of-Gurn,Tyrion-Lannister,7
Haggo,Mirri-Maz-Duur,3
Haggo,Qotho,11
Haggo,Rakharo,3
Halder,Jon-Snow,23
Halder,Pypar,8
Halder,Rast,3
Halder,Samwell-Tarly,6
Halder,Todder,3
Hallis-Mollen,Luwin,4
Hallis-Mollen,Robb-Stark,13
Hallis-Mollen,Theon-Greyjoy,7
Harwin,Hullen,3
Harwin,Jory-Cassel,4
Harys-Swyft,Jaime-Lannister,3
Heward,Jory-Cassel,5
Heward,Wyl-(guard),3
High-Septon-(fat_one),Joffrey-Baratheon,4
Hobb,Jon-Snow,5
Hodor,Luwin,10
Hodor,Nan,8
Hodor,Robb-Stark,5
Hosteen-Frey,Jared-Frey,3
Hoster-Tully,Lysa-Arryn,3
Hoster-Tully,Robert-Baratheon,3
Hugh,Jon-Arryn,3
Hullen,Jory-Cassel,5
Hullen,Luwin,3
Hullen,Robb-Stark,3
Hullen,Rodrik-Cassel,3
Illyrio-Mopatis,Irri,3
Illyrio-Mopatis,Jorah-Mormont,7
Illyrio-Mopatis,Robert-Baratheon,6
Illyrio-Mopatis,Viserys-Targaryen,14
Ilyn-Payne,Jeyne-Poole,3
Ilyn-Payne,Joffrey-Baratheon,4
Ilyn-Payne,Loras-Tyrell,3
Ilyn-Payne,Robert-Baratheon,4
Ilyn-Payne,Sansa-Stark,9
Ilyn-Payne,Varys,5
Irri,Jhiqui,14
Irri,Jhogo,7
Irri,Jorah-Mormont,4
Irri,Viserys-Targaryen,5
Jafer-Flowers,Jaremy-Rykker,3
Jaime-Lannister,Joffrey-Baratheon,12
Jaime-Lannister,Jon-Arryn,5
Jaime-Lannister,Jory-Cassel,4
Jaime-Lannister,Kevan-Lannister,4
Jaime-Lannister,Loras-Tyrell,3
Jaime-Lannister,Lysa-Arryn,6
Jaime-Lannister,Petyr-Baelish,7
Jaime-Lannister,Renly-Baratheon,4
Jaime-Lannister,Rickard-Karstark,3
Jaime-Lannister,Robb-Stark,9
Jaime-Lannister,Robert-Baratheon,24
Jaime-Lannister,Rodrik-Cassel,3
Jaime-Lannister,Sandor-Clegane,12
Jaime-Lannister,Sansa-Stark,3
Jaime-Lannister,Tyrion-Lannister,36
Jaime-Lannister,Tywin-Lannister,16
Jaime-Lannister,Varys,3
Jaime-Lannister,Wyl-(guard),3
Janos-Slynt,Joffrey-Baratheon,4
Janos-Slynt,Petyr-Baelish,3
Janos-Slynt,Pycelle,3
Janos-Slynt,Robert-Baratheon,4
Janos-Slynt,Sansa-Stark,3
Jaremy-Rykker,Jeor-Mormont,11
Jaremy-Rykker,Jon-Snow,7
Jeor-Mormont,Jon-Snow,81
Jeor-Mormont,Robert-Baratheon,4
Jeor-Mormont,Samwell-Tarly,8
Jeor-Mormont,Tyrion-Lannister,23
Jeor-Mormont,Yoren,3
Jeyne-Poole,Loras-Tyrell,4
Jeyne-Poole,Mordane,7
Jeyne-Poole,Robert-Baratheon,3
Jeyne-Poole,Sansa-Stark,27
Jhiqui,Jorah-Mormont,4
Jhogo,Jorah-Mormont,5
Jhogo,Mirri-Maz-Duur,3
Joffrey-Baratheon,Jon-Snow,10
Joffrey-Baratheon,Loras-Tyrell,3
Joffrey-Baratheon,Meryn-Trant,3
Joffrey-Baratheon,Mordane,9
Joffrey-Baratheon,Mycah,14
Joffrey-Baratheon,Myrcella-Baratheon,5
Joffrey-Baratheon,Petyr-Baelish,11
Joffrey-Baratheon,Pycelle,4
Joffrey-Baratheon,Renly-Baratheon,9
Joffrey-Baratheon,Robb-Stark,19
Joffrey-Baratheon,Robert-Baratheon,30
Joffrey-Baratheon,Rodrik-Cassel,9
Joffrey-Baratheon,Sandor-Clegane,24
Joffrey-Baratheon,Sansa-Stark,87
Joffrey-Baratheon,Stannis-Baratheon,7
Joffrey-Baratheon,Tommen-Baratheon,8
Joffrey-Baratheon,Tyrion-Lannister,13
Joffrey-Baratheon,Tywin-Lannister,3
Joffrey-Baratheon,Varys,7
Jommo,Ogo,3
Jon-Arryn,Lysa-Arryn,12
Jon-Arryn,Petyr-Baelish,4
Jon-Arryn,Pycelle,11
Jon-Arryn,Robert-Baratheon,32
Jon-Arryn,Stannis-Baratheon,13
Jon-Arryn,Tyrion-Lannister,5
Jon-Arryn,Varys,5
Jon-Snow,Jory-Cassel,3
Jon-Snow,Luwin,10
Jon-Snow,Matthar,3
Jon-Snow,Mordane,4
Jon-Snow,Othor,5
Jon-Snow,Pypar,45
Jon-Snow,Rast,8
Jon-Snow,Rickon-Stark,11
Jon-Snow,Robb-Stark,53
Jon-Snow,Robert-Baratheon,18
Jon-Snow,Rodrik-Cassel,3
Jon-Snow,Samwell-Tarly,81
Jon-Snow,Sansa-Stark,8
Jon-Snow,Theon-Greyjoy,8
Jon-Snow,Todder,13
Jon-Snow,Tyrion-Lannister,56
Jon-Snow,Yoren,6
Jon-Umber-(Greatjon),Maege-Mormont,5
Jon-Umber-(Greatjon),Rickard-Karstark,7
Jon-Umber-(Greatjon),Robb-Stark,8
Jon-Umber-(Greatjon),Roose-Bolton,3
Jon-Umber-(Greatjon),Theon-Greyjoy,5
Jon-Umber-(Greatjon),Tywin-Lannister,3
Jonos-Bracken,Tytos-Blackwood,3
Jorah-Mormont,Mirri-Maz-Duur,5
Jorah-Mormont,Qotho,7
Jorah-Mormont,Rhaegar-Targaryen,5
Jorah-Mormont,Robert-Baratheon,3
Jorah-Mormont,Viserys-Targaryen,15
Jory-Cassel,Mordane,3
Jory-Cassel,Petyr-Baelish,8
Jory-Cassel,Robb-Stark,9
Jory-Cassel,Robert-Baratheon,7
Jory-Cassel,Rodrik-Cassel,5
Jory-Cassel,Sansa-Stark,9
Jory-Cassel,Stannis-Baratheon,3
Jory-Cassel,Theon-Greyjoy,3
Jory-Cassel,Tomard,5
Jory-Cassel,Vayon-Poole,5
Jory-Cassel,Wyl-(guard),6
Joseth,Luwin,3
Jyck,Morrec,5
Jyck,Tyrion-Lannister,6
Karyl-Vance,Marq-Piper,3
Kevan-Lannister,Tyrion-Lannister,15
Kevan-Lannister,Tywin-Lannister,9
Kurleket,Tyrion-Lannister,5
Lancel-Lannister,Robert-Baratheon,3
Leo-Lefford,Tyrion-Lannister,4
Loras-Tyrell,Mace-Tyrell,3
Loras-Tyrell,Petyr-Baelish,5
Loras-Tyrell,Renly-Baratheon,5
Loras-Tyrell,Robert-Baratheon,4
Loras-Tyrell,Rodrik-Cassel,3
Loras-Tyrell,Sandor-Clegane,4
Loras-Tyrell,Sansa-Stark,14
Luwin,Nan,4
Luwin,Osha,16
Luwin,Rickard-Karstark,3
Luwin,Rickon-Stark,9
Luwin,Robb-Stark,20
Luwin,Rodrik-Cassel,3
Luwin,Theon-Greyjoy,10
Luwin,Tommen-Baratheon,3
Luwin,Tyrion-Lannister,10
Lyanna-Stark,Robert-Baratheon,9
Lyanna-Stark,Sansa-Stark,4
Lyn-Corbray,Lysa-Arryn,3
Lysa-Arryn,Petyr-Baelish,4
Lysa-Arryn,Robert-Arryn,8
Lysa-Arryn,Robert-Baratheon,5
Lysa-Arryn,Stannis-Baratheon,4
Lysa-Arryn,Tyrion-Lannister,25
Lysa-Arryn,Vardis-Egen,5
Mace-Tyrell,Paxter-Redwyne,3
Maege-Mormont,Rickard-Karstark,3
Maegor-I-Targaryen,Sansa-Stark,4
Marillion,Rodrik-Cassel,5
Marillion,Tyrion-Lannister,10
Marillion,Willis-Wode,4
Marq-Piper,Tywin-Lannister,3
Meryn-Trant,Robert-Baratheon,3
Meryn-Trant,Sandor-Clegane,4
Meryn-Trant,Sansa-Stark,5
Meryn-Trant,Syrio-Forel,5
Mirri-Maz-Duur,Qotho,9
Mord,Tyrion-Lannister,20
Mordane,Myrcella-Baratheon,12
Mordane,Petyr-Baelish,3
Mordane,Robert-Baratheon,7
Mordane,Sansa-Stark,43
Morrec,Tyrion-Lannister,5
Mycah,Sandor-Clegane,5
Mycah,Sansa-Stark,10
Myrcella-Baratheon,Robert-Baratheon,3
Myrcella-Baratheon,Sansa-Stark,8
Myrcella-Baratheon,Tommen-Baratheon,6
Nan,Robb-Stark,4
Osha,Robb-Stark,3
Petyr-Baelish,Pycelle,14
Petyr-Baelish,Renly-Baratheon,12
Petyr-Baelish,Robert-Baratheon,30
Petyr-Baelish,Rodrik-Cassel,7
Petyr-Baelish,Sandor-Clegane,3
Petyr-Baelish,Sansa-Stark,8
Petyr-Baelish,Tomard,4
Petyr-Baelish,Tyrion-Lannister,11
Petyr-Baelish,Varys,29
Pycelle,Renly-Baratheon,7
Pycelle,Robert-Baratheon,26
Pycelle,Sansa-Stark,8
Pycelle,Stannis-Baratheon,3
Pycelle,Tywin-Lannister,4
Pycelle,Varys,17
Pypar,Rast,4
Pypar,Samwell-Tarly,11
Pypar,Todder,8
Qotho,Quaro,4
Quaro,Rakharo,6
Randyll-Tarly,Samwell-Tarly,5
Rast,Samwell-Tarly,3
Raymun-Darry,Robert-Baratheon,8
Renly-Baratheon,Robb-Stark,3
Renly-Baratheon,Robert-Baratheon,42
Renly-Baratheon,Sandor-Clegane,7
Renly-Baratheon,Sansa-Stark,5
Renly-Baratheon,Stannis-Baratheon,19
Renly-Baratheon,Tyrion-Lannister,4
Renly-Baratheon,Varys,9
Rhaegar-Targaryen,Robert-Baratheon,22
Rhaegar-Targaryen,Sansa-Stark,3
Rhaegar-Targaryen,Tywin-Lannister,4
Rhaegar-Targaryen,Viserys-Targaryen,5
Rickard-Karstark,Robb-Stark,9
Rickard-Karstark,Roose-Bolton,3
Rickon-Stark,Robb-Stark,20
Rickon-Stark,Sansa-Stark,8
Rickon-Stark,Tyrion-Lannister,4
Robb-Stark,Robert-Baratheon,6
Robb-Stark,Rodrik-Cassel,15
Robb-Stark,Roose-Bolton,6
Robb-Stark,Samwell-Tarly,4
Robb-Stark,Sansa-Stark,13
Robb-Stark,Stiv,3
Robb-Stark,Theon-Greyjoy,37
Robb-Stark,Torrhen-Karstark,3
Robb-Stark,Tyrion-Lannister,11
Robb-Stark,Tywin-Lannister,9
Robb-Stark,Walder-Frey,7
Robb-Stark,Wendel-Manderly,3
Robb-Stark,Yoren,3
Robert-Arryn,Tyrion-Lannister,9
Robert-Baratheon,Sandor-Clegane,9
Robert-Baratheon,Sansa-Stark,26
Robert-Baratheon,Stannis-Baratheon,21
Robert-Baratheon,Tommen-Baratheon,3
Robert-Baratheon,Tyrion-Lannister,18
Robert-Baratheon,Tywin-Lannister,13
Robert-Baratheon,Varys,36
Robert-Baratheon,Vayon-Poole,3
Robert-Baratheon,Viserys-Targaryen,7
Rodrik-Cassel,Theon-Greyjoy,6
Rodrik-Cassel,Tyrion-Lannister,10
Rodrik-Cassel,Willis-Wode,7
Roose-Bolton,Tywin-Lannister,4
Sandor-Clegane,Sansa-Stark,23
Sandor-Clegane,Tyrion-Lannister,5
Sansa-Stark,Stannis-Baratheon,3
Sansa-Stark,Tomard,3
Sansa-Stark,Tyrion-Lannister,3
Sansa-Stark,Varys,4
Shae,Tyrion-Lannister,12
Shagga,Timett,4
Shagga,Tyrion-Lannister,17
Shagga,Ulf-son-of-Umar,4
Stannis-Baratheon,Tywin-Lannister,4
Stannis-Baratheon,Varys,5
Stevron-Frey,Walder-Frey,3
Theon-Greyjoy,Tyrion-Lannister,3
Theon-Greyjoy,Tywin-Lannister,3
Theon-Greyjoy,Walder-Frey,4
Timett,Tyrion-Lannister,3
Tommen-Baratheon,Tyrion-Lannister,3
Tyrion-Lannister,Tywin-Lannister,40
Tyrion-Lannister,Vardis-Egen,9
Tyrion-Lannister,Varys,3
Tyrion-Lannister,Willis-Wode,4
Tyrion-Lannister,Yoren,10
Tywin-Lannister,Varys,4
Tywin-Lannister,Walder-Frey,8
Waymar-Royce,Will-(prologue),18